feature,coefficient,abs_coefficient
cat__city_canonical_ENUMCLAW,-2.141912791264724,2.141912791264724
cat__city_canonical_ALGONA,1.5286557813312527,1.5286557813312527
cat__city_canonical_CARNATION,-1.487995468603956,1.487995468603956
cat__city_canonical_KENMORE,1.1038267054567048,1.1038267054567048
cat__inspection_type_Routine Inspection/Field Review,-1.0690322378981942,1.0690322378981942
cat__city_canonical_CLYDE HILL,0.9644354876705477,0.9644354876705477
num__grade_num,0.8813764031149216,0.8813764031149216
cat__city_canonical_DUVALL,0.8479526796863996,0.8479526796863996
cat__city_canonical_BELLEVUE,0.8460024002167653,0.8460024002167653
cat__city_canonical_FALL CITY,-0.8121672669228864,0.8121672669228864
cat__city_canonical_MEDINA,-0.7746527667620874,0.7746527667620874
cat__city_canonical_VASHON ISLAND,-0.7687477326230727,0.7687477326230727
cat__city_canonical_SEATAC,0.7465683629913115,0.7465683629913115
cat__inspection_result_Not Accessible,-0.7130913528501978,0.7130913528501978
cat__city_canonical_SKYKOMISH,-0.7088520038634565,0.7088520038634565
cat__city_canonical_DES MOINES,0.6557042177700252,0.6557042177700252
cat__city_canonical_PRESTON,-0.6546404567564201,0.6546404567564201
cat__inspection_result_Baseline Data,-0.6298988437804128,0.6298988437804128
cat__city_canonical_RENTON,0.6098874149444892,0.6098874149444892
cat__inspection_result_Not Ready For Inspection,-0.5959866537977877,0.5959866537977877
cat__city_canonical_BLACK DIAMOND,0.5936122531172783,0.5936122531172783
cat__inspection_result_Unsatisfactory,0.5679579575004798,0.5679579575004798
cat__city_canonical_SNOQUALMIE PASS,-0.5675512552495654,0.5675512552495654
cat__inspection_type_Consultation/Education - Field,-0.4900762918631089,0.4900762918631089
cat__city_canonical_PACIFIC,-0.4785030545502742,0.4785030545502742
