hidden_layers,learning_rate,dropout,epochs_trained,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
"[128, 128]",0.0005,0.2,24,0.9238095238095239,0.0,0.0,0.0,0.7419710454252578
"[64, 64]",0.001,0.2,25,0.9238095238095239,0.0,0.0,0.0,0.7412411404639176
"[256, 128]",0.0005,0.0,20,0.9238095238095239,0.0,0.0,0.0,0.740576675257732
"[64, 64]",0.001,0.0,23,0.9232142857142858,0.0,0.0,0.0,0.7388702077963917
"[64, 64]",0.0005,0.0,25,0.9238095238095239,0.0,0.0,0.0,0.7381252013530928
"[256, 128]",0.001,0.0,13,0.9238095238095239,0.0,0.0,0.0,0.7377627657860826
"[128, 128]",0.001,0.2,13,0.9238095238095239,0.0,0.0,0.0,0.7376872583762887
"[128, 128]",0.0005,0.0,20,0.9232142857142858,0.0,0.0,0.0,0.7376671230670103
"[256, 128]",0.0005,0.2,16,0.9238095238095239,0.0,0.0,0.0,0.7375412773840204
"[64, 64]",0.0005,0.2,25,0.9238095238095239,0.0,0.0,0.0,0.7368768121778351
"[128, 128]",0.001,0.0,13,0.9238095238095239,0.0,0.0,0.0,0.7346216575386598
"[256, 128]",0.001,0.2,12,0.9238095238095239,0.0,0.0,0.0,0.7345612516108248
