feature,importance
num__grade_num,0.26118583490980496
num__inspection_score,0.09682117052632969
cat__inspection_result_Satisfactory,0.08366806190683045
num__red_points_total,0.06915166069921998
cat__inspection_type_Routine Inspection/Field Review,0.06639794217955541
num__violation_count_total,0.06272309129222328
cat__inspection_result_Unsatisfactory,0.04646285876729341
cat__inspection_type_Return Inspection,0.04526007873499165
num__blue_points_total,0.041273677461075374
num__is_high_risk,0.026283290621274366
cat__inspection_type_Consultation/Education - Field,0.023266102441797692
cat__city_canonical_BELLEVUE,0.022791721734231506
cat__inspection_result_Complete,0.022186165774247226
cat__city_canonical_SEATTLE,0.011470491449274763
cat__city_canonical_FEDERAL WAY,0.010033782398514048
cat__city_canonical_KENT,0.00874998431770864
cat__city_canonical_KIRKLAND,0.007742507951163554
cat__city_canonical_RENTON,0.007356690791245453
cat__city_canonical_BURIEN,0.007166527869284788
cat__city_canonical_KENMORE,0.0069957497097361265
cat__city_canonical_AUBURN,0.006876663651545435
cat__city_canonical_REDMOND,0.00557292886285898
cat__city_canonical_TUKWILA,0.005155034694974524
cat__city_canonical_COVINGTON,0.004780920840471684
cat__city_canonical_WOODINVILLE,0.0046003446750792765
